event_id,timestamp,ticket_id,activity,assigned_to,priority,category,department,notes
1,2024-01-15 08:42:13,TKT-20240115-001,Ticket Created,Unassigned,Medium,Software,Finance,Excel crashing when opening large files
2,2024-01-15 08:55:28,TKT-20240115-001,Ticket Assigned,Pat Anderson,Medium,Software,Finance,Assigned to L1 support
3,2024-01-15 09:10:45,TKT-20240115-001,Work Started,Pat Anderson,Medium,Software,Finance,Checking Office version and updates
4,2024-01-15 10:22:30,TKT-20240115-001,Ticket Resolved,Pat Anderson,Medium,Software,Finance,Increased memory allocation in Excel settings
5,2024-01-15 10:35:12,TKT-20240115-001,Ticket Closed,Pat Anderson,Medium,Software,Finance,User confirmed issue resolved
6,2024-01-15 09:15:33,TKT-20240115-002,Ticket Created,Unassigned,High,Network,Engineering,VPN connection failing for entire team
7,2024-01-15 09:18:45,TKT-20240115-002,Ticket Assigned,Chris Johnson,High,Network,Engineering,Assigned to L1 support
8,2024-01-15 09:35:20,TKT-20240115-002,Work Started,Chris Johnson,High,Network,Engineering,Testing VPN client connectivity
9,2024-01-15 10:12:18,TKT-20240115-002,Escalated to L2,Taylor Chen,High,Network,Engineering,Network infrastructure issue - beyond L1 scope
10,2024-01-15 10:25:40,TKT-20240115-002,Work Started,Taylor Chen,High,Network,Engineering,Checking VPN concentrator logs
11,2024-01-15 11:45:22,TKT-20240115-002,Resolution Proposed,Taylor Chen,High,Network,Engineering,VPN concentrator at capacity - need to add second device
12,2024-01-15 12:10:15,TKT-20240115-002,On Hold,Taylor Chen,High,Network,Engineering,Awaiting budget approval for hardware
13,2024-01-16 14:32:08,TKT-20240115-002,Hold Released,Taylor Chen,High,Network,Engineering,Purchase approved
14,2024-01-16 14:40:22,TKT-20240115-002,Awaiting Parts,Taylor Chen,High,Network,Engineering,VPN device ordered - 3 day delivery
15,2024-01-18 10:15:30,TKT-20240115-002,Parts Received,Taylor Chen,High,Network,Engineering,Hardware arrived
16,2024-01-18 13:20:45,TKT-20240115-002,Work Resumed,Taylor Chen,High,Network,Engineering,Installing and configuring new VPN concentrator
17,2024-01-18 16:35:10,TKT-20240115-002,Ticket Resolved,Taylor Chen,High,Network,Engineering,Load balanced VPN across two devices
18,2024-01-18 16:50:22,TKT-20240115-002,Ticket Closed,Taylor Chen,High,Network,Engineering,Team confirmed VPN working properly
19,2024-01-15 11:22:40,TKT-20240115-003,Ticket Created,Unassigned,Low,Access,HR,New employee needs email account setup
20,2024-01-15 11:45:15,TKT-20240115-003,Ticket Assigned,Sam Williams,Low,Access,HR,Assigned to L1 support
21,2024-01-15 12:05:30,TKT-20240115-003,Work Started,Sam Williams,Low,Access,HR,Creating Active Directory account
22,2024-01-15 12:35:45,TKT-20240115-003,Ticket Resolved,Sam Williams,Low,Access,HR,Email account created and credentials sent
23,2024-01-15 12:40:20,TKT-20240115-003,Ticket Closed,Sam Williams,Low,Access,HR,User able to login successfully
24,2024-01-16 02:15:33,TKT-20240116-001,Ticket Created,Unassigned,Critical,Software,Operations,Production database server unresponsive
25,2024-01-16 02:18:22,TKT-20240116-001,Ticket Assigned,Jordan Lee,Critical,Software,Operations,L2 tech on-call assigned immediately
26,2024-01-16 02:22:45,TKT-20240116-001,Work Started,Jordan Lee,Critical,Software,Operations,Checking database server status
27,2024-01-16 02:55:10,TKT-20240116-001,Escalated to L3,Casey Brown,Critical,Software,Operations,Database corruption detected - need senior DBA
28,2024-01-16 03:10:30,TKT-20240116-001,Work Started,Casey Brown,Critical,Software,Operations,Running database recovery procedures
29,2024-01-16 05:45:20,TKT-20240116-001,Resolution Proposed,Casey Brown,Critical,Software,Operations,Database restored from backup with 2hr data loss
30,2024-01-16 06:10:15,TKT-20240116-001,Ticket Resolved,Casey Brown,Critical,Software,Operations,Service restored - investigating root cause
31,2024-01-16 06:20:33,TKT-20240116-001,Ticket Closed,Casey Brown,Critical,Software,Operations,Post-incident review scheduled
